Date,환율
2014-12-09,1107.8
2014-12-10,1102.2
2014-12-11,1100.9
2014-12-12,1103.1
2014-12-15,1099.1
2014-12-16,1086.7
2014-12-17,1094.9
2014-12-18,1101.5
2014-12-19,1102.0
2014-12-22,1096.2
2014-12-23,1102.7
2014-12-24,1102.6
2014-12-26,1098.7
2014-12-29,1097.8
2014-12-30,1099.3
2015-01-02,1103.5
2015-01-05,1109.9
2015-01-06,1098.8
2015-01-07,1099.9
2015-01-08,1096.9
2015-01-09,1090.0
2015-01-12,1081.4
2015-01-13,1083.5
2015-01-14,1082.2
2015-01-15,1083.3
2015-01-16,1077.3
2015-01-19,1078.0
2015-01-20,1088.4
2015-01-21,1083.4
2015-01-22,1084.9
2015-01-23,1084.1
2015-01-26,1080.8
2015-01-27,1079.8
2015-01-28,1084.5
2015-01-29,1093.9
2015-01-30,1093.5
2015-02-02,1103.3
2015-02-03,1097.4
2015-02-04,1084.1
2015-02-05,1090.5
2015-02-06,1089.7
2015-02-09,1094.9
2015-02-10,1089.7
2015-02-11,1097.7
2015-02-12,1110.7
2015-02-13,1097.0
2015-02-16,1102.4
2015-02-17,1101.8
2015-02-23,1108.7
2015-02-24,1109.9
2015-02-25,1099.0
2015-02-26,1097.2
2015-02-27,1098.4
2015-03-02,1100.8
2015-03-03,1096.4
2015-03-04,1097.7
2015-03-05,1101.3
2015-03-06,1098.7
2015-03-09,1112.1
2015-03-10,1122.6
2015-03-11,1126.5
2015-03-12,1126.4
2015-03-13,1128.5
2015-03-16,1131.5
2015-03-17,1128.9
2015-03-18,1129.9
2015-03-19,1117.2
2015-03-20,1123.0
2015-03-23,1114.6
2015-03-24,1104.6
2015-03-25,1100.8
2015-03-26,1108.0
2015-03-27,1103.3
2015-03-30,1104.9
2015-03-31,1109.5
2015-04-01,1102.4
2015-04-02,1095.5
2015-04-03,1092.7
2015-04-06,1084.8
2015-04-07,1088.5
2015-04-08,1091.0
2015-04-09,1092.3
2015-04-10,1092.7
2015-04-13,1098.6
2015-04-14,1094.0
2015-04-15,1096.8
2015-04-16,1088.9
2015-04-17,1083.7
2015-04-20,1079.2
2015-04-21,1083.4
2015-04-22,1079.6
2015-04-23,1082.2
2015-04-24,1079.4
2015-04-27,1073.0
2015-04-28,1070.0
2015-04-29,1068.6
2015-04-30,1072.4
2015-05-04,1079.2
2015-05-06,1080.0
2015-05-07,1089.7
2015-05-08,1088.3
2015-05-11,1091.3
2015-05-12,1095.8
2015-05-13,1099.7
2015-05-14,1090.5
2015-05-15,1085.7
2015-05-18,1085.6
2015-05-19,1088.1
2015-05-20,1096.0
2015-05-21,1094.0
2015-05-22,1090.1
2015-05-26,1101.0
2015-05-27,1105.5
2015-05-28,1105.8
2015-05-29,1108.2
2015-06-01,1110.2
2015-06-02,1112.4
2015-06-03,1104.7
2015-06-04,1113.9
2015-06-05,1111.1
2015-06-08,1123.3
2015-06-09,1118.9
2015-06-10,1108.2
2015-06-11,1108.8
2015-06-12,1114.7
2015-06-15,1117.3
2015-06-16,1118.6
2015-06-17,1117.9
2015-06-18,1107.1
2015-06-19,1107.1
2015-06-22,1098.8
2015-06-23,1104.6
2015-06-24,1108.4
2015-06-25,1110.0
2015-06-26,1116.9
2015-06-29,1125.3
2015-06-30,1115.5
2015-07-01,1117.5
2015-07-02,1125.0
2015-07-03,1123.0
2015-07-06,1126.5
2015-07-07,1130.2
2015-07-08,1136.7
2015-07-09,1133.9
2015-07-10,1129.7
2015-07-13,1130.6
2015-07-14,1142.6
2015-07-15,1143.6
2015-07-16,1149.2
2015-07-17,1147.5
2015-07-20,1152.1
2015-07-21,1158.3
2015-07-22,1153.6
2015-07-23,1165.1
2015-07-24,1167.9
2015-07-27,1167.0
2015-07-28,1164.9
2015-07-29,1158.4
2015-07-30,1168.4
2015-07-31,1170.0
2015-08-03,1165.9
2015-08-04,1165.5
2015-08-05,1173.6
2015-08-06,1166.2
2015-08-07,1167.4
2015-08-10,1163.2
2015-08-11,1179.1
2015-08-12,1190.8
2015-08-13,1174.0
2015-08-17,1183.1
2015-08-18,1185.0
2015-08-19,1185.3
2015-08-20,1185.1
2015-08-21,1195.0
2015-08-24,1199.0
2015-08-25,1195.3
2015-08-26,1186.0
2015-08-27,1185.2
2015-08-28,1173.6
2015-08-31,1182.5
2015-09-01,1171.8
2015-09-02,1180.7
2015-09-03,1190.3
2015-09-04,1193.4
2015-09-07,1203.7
2015-09-08,1200.9
2015-09-09,1189.4
2015-09-10,1194.4
2015-09-11,1184.5
2015-09-14,1183.1
2015-09-15,1186.7
2015-09-16,1175.9
2015-09-17,1165.9
2015-09-18,1162.8
2015-09-21,1174.7
2015-09-22,1179.2
2015-09-23,1191.2
2015-09-24,1192.5
2015-09-25,1194.7
2015-09-30,1185.3
2015-10-01,1176.3
2015-10-02,1180.7
2015-10-05,1172.4
2015-10-06,1165.9
2015-10-07,1161.3
2015-10-08,1159.0
2015-10-12,1143.5
2015-10-13,1149.7
2015-10-14,1146.8
2015-10-15,1130.2
2015-10-16,1129.1
2015-10-19,1121.0
2015-10-20,1131.0
2015-10-21,1132.5
2015-10-22,1138.6
2015-10-23,1124.7
2015-10-26,1133.8
2015-10-27,1131.0
2015-10-28,1131.0
2015-10-29,1142.3
2015-10-30,1140.1
2015-11-02,1137.0
2015-11-03,1133.1
2015-11-04,1132.0
2015-11-05,1138.5
2015-11-06,1141.9
2015-11-09,1157.2
2015-11-10,1156.9
2015-11-11,1154.9
2015-11-12,1158.2
2015-11-13,1163.8
2015-11-16,1174.1
2015-11-17,1170.4
2015-11-18,1172.2
2015-11-19,1161.7
2015-11-20,1154.3
2015-11-23,1158.5
2015-11-24,1153.8
2015-11-25,1143.4
2015-11-26,1147.3
2015-11-27,1153.0
2015-11-30,1158.1
2015-12-01,1158.0
2015-12-02,1164.3
2015-12-03,1164.6
2015-12-04,1156.7
2015-12-07,1168.2
2015-12-08,1178.6
2015-12-09,1179.3
2015-12-10,1181.3
2015-12-11,1179.5
2015-12-14,1184.8
2015-12-15,1183.4
2015-12-16,1176.2
2015-12-17,1180.1
2015-12-18,1183.0
2015-12-21,1177.6
2015-12-22,1173.3
2015-12-23,1173.1
2015-12-24,1167.8
2015-12-28,1165.4
2015-12-29,1169.6
2015-12-30,1172.5
2016-01-04,1187.7
2016-01-05,1188.0
2016-01-06,1197.9
2016-01-07,1200.6
2016-01-08,1198.1
2016-01-11,1209.8
2016-01-12,1210.3
2016-01-13,1204.0
2016-01-14,1213.4
2016-01-15,1213.4
2016-01-18,1210.9
2016-01-19,1205.9
2016-01-20,1214.0
2016-01-21,1213.7
2016-01-22,1200.1
2016-01-25,1194.2
2016-01-26,1204.2
2016-01-27,1202.0
2016-01-28,1208.5
2016-01-29,1199.1
2016-02-01,1200.5
2016-02-02,1207.4
2016-02-03,1219.3
2016-02-04,1202.1
2016-02-05,1197.4
2016-02-11,1202.5
2016-02-12,1211.7
2016-02-15,1208.1
2016-02-16,1216.6
2016-02-17,1227.1
2016-02-18,1227.4
2016-02-19,1234.4
2016-02-22,1234.4
2016-02-23,1231.1
2016-02-24,1234.4
2016-02-25,1238.8
2016-02-26,1238.2
2016-02-29,1236.7
2016-03-02,1227.5
2016-03-03,1214.6
2016-03-04,1203.4
2016-03-07,1201.4
2016-03-08,1206.7
2016-03-09,1216.2
2016-03-10,1203.5
2016-03-11,1193.1
2016-03-14,1186.1
2016-03-15,1187.7
2016-03-16,1193.3
2016-03-17,1173.3
2016-03-18,1162.5
2016-03-21,1163.5
2016-03-22,1153.6
2016-03-23,1161.2
2016-03-24,1166.3
2016-03-25,1169.2
2016-03-28,1166.2
2016-03-29,1163.8
2016-03-30,1150.8
2016-03-31,1143.5
2016-04-01,1154.2
2016-04-04,1146.1
2016-04-05,1155.1
2016-04-06,1156.1
2016-04-07,1151.4
2016-04-08,1153.8
2016-04-11,1146.5
2016-04-12,1145.8
2016-04-14,1156.7
2016-04-15,1146.2
2016-04-18,1150.2
2016-04-19,1136.3
2016-04-20,1135.2
2016-04-21,1132.9
2016-04-22,1143.1
2016-04-25,1147.8
2016-04-26,1151.0
2016-04-27,1148.3
2016-04-28,1138.2
2016-04-29,1139.3
2016-05-02,1137.8
2016-05-03,1140.2
2016-05-04,1154.3
2016-05-09,1165.8
2016-05-10,1172.6
2016-05-11,1167.6
2016-05-12,1162.6
2016-05-13,1171.4
2016-05-16,1179.7
2016-05-17,1173.7
2016-05-18,1182.6
2016-05-19,1191.7
2016-05-20,1190.2
2016-05-23,1182.9
2016-05-24,1192.7
2016-05-25,1182.5
2016-05-26,1180.4
2016-05-27,1179.3
2016-05-30,1191.8
2016-05-31,1191.7
2016-06-01,1193.0
2016-06-02,1186.6
2016-06-03,1183.6
2016-06-07,1162.7
2016-06-08,1156.6
2016-06-09,1156.0
2016-06-10,1165.5
2016-06-13,1173.4
2016-06-14,1173.2
2016-06-15,1173.3
2016-06-16,1171.4
2016-06-17,1172.7
2016-06-20,1160.8
2016-06-21,1156.6
2016-06-22,1154.4
2016-06-23,1150.2
2016-06-24,1179.9
2016-06-27,1182.3
2016-06-28,1171.3
2016-06-29,1160.2
2016-06-30,1151.8
2016-07-01,1145.0
2016-07-04,1146.9
2016-07-05,1155.4
2016-07-06,1165.6
2016-07-07,1154.6
2016-07-08,1161.8
2016-07-11,1146.7
2016-07-12,1148.0
2016-07-13,1146.4
2016-07-14,1137.4
2016-07-15,1133.9
2016-07-18,1136.4
2016-07-19,1135.5
2016-07-20,1141.0
2016-07-21,1135.9
2016-07-22,1134.4
2016-07-25,1137.0
2016-07-26,1134.9
2016-07-27,1134.2
2016-07-28,1124.4
2016-07-29,1120.2
2016-08-01,1108.0
2016-08-02,1110.0
2016-08-03,1117.6
2016-08-04,1114.0
2016-08-05,1110.4
2016-08-08,1108.3
2016-08-09,1106.1
2016-08-10,1095.4
2016-08-11,1099.5
2016-08-12,1103.3
2016-08-16,1092.2
2016-08-17,1108.3
2016-08-18,1107.2
2016-08-19,1117.6
2016-08-22,1126.5
2016-08-23,1115.6
2016-08-24,1122.0
2016-08-25,1115.9
2016-08-26,1113.7
2016-08-29,1125.0
2016-08-30,1119.9
2016-08-31,1114.8
2016-09-01,1122.1
2016-09-02,1117.2
2016-09-05,1105.1
2016-09-06,1105.2
2016-09-07,1090.0
2016-09-08,1092.6
2016-09-09,1098.4
2016-09-12,1113.5
2016-09-13,1118.8
2016-09-19,1118.1
2016-09-20,1120.6
2016-09-21,1120.1
2016-09-22,1103.3
2016-09-23,1102.4
2016-09-26,1107.9
2016-09-27,1096.5
2016-09-28,1096.8
2016-09-29,1098.8
2016-09-30,1101.3
2016-10-04,1107.8
2016-10-05,1113.7
2016-10-06,1112.2
2016-10-07,1115.5
2016-10-10,1108.4
2016-10-11,1120.4
2016-10-12,1123.6
2016-10-13,1135.9
2016-10-14,1132.1
2016-10-17,1137.9
2016-10-18,1129.4
2016-10-19,1123.2
2016-10-20,1127.5
2016-10-21,1134.9
2016-10-24,1131.0
2016-10-25,1133.5
2016-10-26,1134.0
2016-10-27,1142.5
2016-10-28,1144.9
2016-10-31,1144.5
2016-11-01,1139.9
2016-11-02,1149.8
2016-11-03,1139.6
2016-11-04,1143.4
2016-11-07,1143.1
2016-11-08,1135.0
2016-11-09,1149.5
2016-11-10,1150.6
2016-11-11,1164.8
2016-11-14,1171.9
2016-11-15,1170.6
2016-11-16,1169.2
2016-11-17,1175.9
2016-11-18,1183.2
2016-11-21,1186.6
2016-11-22,1176.1
2016-11-23,1176.2
2016-11-24,1180.1
2016-11-25,1177.4
2016-11-28,1170.4
2016-11-29,1168.5
2016-11-30,1169.1
2016-12-01,1167.6
2016-12-02,1172.6
2016-12-05,1174.6
2016-12-06,1171.4
2016-12-07,1167.9
2016-12-08,1158.5
2016-12-09,1165.9
2016-12-12,1168.2
2016-12-13,1167.0
2016-12-14,1169.7
2016-12-15,1178.5
2016-12-16,1183.9
2016-12-19,1186.9
2016-12-20,1193.4
2016-12-21,1193.9
2016-12-22,1199.1
2016-12-23,1203.0
2016-12-26,1201.4
2016-12-27,1207.6
2016-12-28,1210.5
2016-12-29,1207.7
2017-01-02,1208.0
2017-01-03,1203.5
2017-01-04,1206.4
2017-01-05,1186.3
2017-01-06,1193.0
2017-01-09,1208.3
2017-01-10,1194.6
2017-01-11,1196.4
2017-01-12,1184.7
2017-01-13,1174.7
2017-01-16,1182.1
2017-01-17,1174.5
2017-01-18,1166.7
2017-01-19,1177.6
2017-01-20,1169.2
2017-01-23,1165.5
2017-01-24,1165.9
2017-01-25,1166.0
2017-01-26,1159.2
2017-01-31,1162.1
2017-02-01,1158.1
2017-02-02,1146.8
2017-02-03,1147.6
2017-02-06,1137.9
2017-02-07,1144.3
2017-02-08,1147.2
2017-02-09,1145.8
2017-02-10,1150.6
2017-02-13,1152.0
2017-02-14,1137.4
2017-02-15,1142.2
2017-02-16,1141.5
2017-02-17,1146.3
2017-02-20,1147.5
2017-02-21,1146.1
2017-02-22,1142.6
2017-02-23,1137.3
2017-02-24,1131.5
2017-02-27,1133.7
2017-02-28,1130.7
2017-03-02,1141.6
2017-03-03,1156.1
2017-03-06,1158.0
2017-03-07,1146.1
