iter	Logloss
0	0.686314565
1	0.6793667474
2	0.6730662809
3	0.6657316832
4	0.6603015833
5	0.6535565828
6	0.6482674819
7	0.6421888628
8	0.6365997006
9	0.6313300432
10	0.6251492582
11	0.6195933921
12	0.6137814675
13	0.6081956164
14	0.6023277756
15	0.5977501289
16	0.5936259674
17	0.5887808981
18	0.5845109174
19	0.5803085405
20	0.5766207567
21	0.5717430179
22	0.5673604594
23	0.5637344189
24	0.5607284886
25	0.5568493925
26	0.5544724042
27	0.5506862808
28	0.5461284641
29	0.5437826616
30	0.5403609196
31	0.5373175161
32	0.5345354678
33	0.5305027404
34	0.5265468863
35	0.5243887489
36	0.5208290582
37	0.5177766679
38	0.5151702758
39	0.511889281
40	0.5091084425
41	0.5061496365
42	0.5032009771
43	0.500084595
44	0.4975937075
45	0.4948606848
46	0.4925018776
47	0.4905453297
48	0.4886429228
49	0.4865257905
50	0.4853460449
51	0.4841382291
52	0.4820244201
53	0.4804521921
54	0.4785019957
55	0.4766198953
56	0.4744441845
57	0.4730628905
58	0.4708692526
59	0.4683914441
60	0.4664435086
61	0.4643205507
62	0.4629152551
63	0.4609118754
64	0.4594087459
65	0.4578437283
66	0.4559604149
67	0.454067399
68	0.453145925
69	0.4514008462
70	0.4496217958
71	0.4483621018
72	0.4474484779
73	0.4458822781
74	0.4449207274
75	0.4433073877
76	0.4417363805
77	0.4405444899
78	0.4393304811
79	0.4380211922
80	0.4361266303
81	0.4347903854
82	0.4334059709
83	0.4321420279
84	0.4306373178
85	0.4290601905
86	0.4278652289
87	0.4269818032
88	0.4257913009
89	0.4244527064
90	0.4232777442
91	0.4223388713
92	0.4214534618
93	0.41994608
94	0.4190583052
95	0.4177794633
96	0.4166413627
97	0.41594309
98	0.4144452853
99	0.4137670146
100	0.4125071598
101	0.4112712755
102	0.4105331332
103	0.4094096213
104	0.4084235322
105	0.4074069726
106	0.4062623928
107	0.4051800473
108	0.4041443731
109	0.4033581862
110	0.4023650823
111	0.4013946865
112	0.4002846738
113	0.3992725359
114	0.398044205
115	0.3971837512
116	0.3964827191
117	0.395734397
118	0.3945987949
119	0.3936072221
120	0.3925680963
121	0.3917698266
122	0.3907366486
123	0.3898373322
124	0.3892573607
125	0.3882176506
126	0.3873769387
127	0.3864058864
128	0.3857636592
129	0.3848557277
130	0.384057349
131	0.3835087939
132	0.382577469
133	0.381653432
134	0.3810655106
135	0.3803830421
136	0.3794400478
137	0.3785517876
138	0.3780869704
139	0.3775500317
140	0.3767166138
141	0.3759787006
142	0.3751592612
143	0.374382114
144	0.3738140997
145	0.3733149157
146	0.3723108387
147	0.3715209846
148	0.3709882495
149	0.3703003616
150	0.3695840621
151	0.3688553769
152	0.3680718556
153	0.3673260721
154	0.3668117271
155	0.3660680478
156	0.3656236112
157	0.365080833
158	0.3647005465
159	0.363808578
160	0.3631096433
161	0.3624646973
162	0.3621150685
163	0.3615457097
164	0.3608988659
165	0.3605423526
166	0.3602309306
167	0.359990414
168	0.3592444302
169	0.3588656186
170	0.3581934666
171	0.3574797809
172	0.3572795839
173	0.3569285386
174	0.3564431955
175	0.3557453326
176	0.3550714147
177	0.3547359948
178	0.3541287844
179	0.3534753484
180	0.3526738384
181	0.3522036486
182	0.3515622816
183	0.3510851444
184	0.3505444729
185	0.3499846223
186	0.349303095
187	0.3490165127
188	0.3484989376
189	0.3479897792
190	0.3474818741
191	0.3470938644
192	0.3464859522
193	0.3457271965
194	0.3448718556
195	0.344435765
196	0.3441560963
197	0.343860597
198	0.3434283778
199	0.3428451717
200	0.3423100823
201	0.3419829775
